"sheet","id","status","label","evidence_count","evidence_files","memo"
"A","A-001","未実施","Win Chrome / index.asp / ブレークポイント表示","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-002","未実施","Win Chrome / index.asp / 横スクロール発生なし","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-003","未実施","Win Chrome / index.asp / ヘッダ画像の追従","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。 751～900px帯は未検証のため、別途確認が必要。"
"A","A-004","未実施","Win Chrome / index.asp / パンくずの折返し","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-005","未実施","Win Chrome / index.asp / ボタン配置(action-row)","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-006","未実施","Win Chrome / index.asp / タップターゲット","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-007","未実施","Win Chrome / index.asp / 縦/横画面切替","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-008","未実施","Win Chrome / index.asp / ブラウザズーム200%","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-009","未実施","Win Chrome / index.asp / 文字エンコード","0","","ソース基準: CodePage=932 / Session.CodePage=932 / meta charset=shift_jis あり。表示確認は要ログインのため未実施。"
"A","A-010","未実施","Win Chrome / index.asp / 長文・端値表示","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-011","未実施","Win Chrome / index.asp / フォント・行間","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-012","未実施","Win Chrome / index.asp / 画像欠落時(alt)","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-013","合格","Win Chrome / main.asp / ブレークポイント表示","1","test_evidence/section3_20260617/section3_results.json","Chrome section3 実測。320/375/768/900/1280/1920px のスクリーンショットで大きな崩れなし。evidence: section3_results.json, chrome_main_*_20260617.png"
"A","A-014","合格","Win Chrome / main.asp / 横スクロール発生なし","1","test_evidence/section3_20260617/section3_results.json","Chrome section3 実測。metrics では scrollWidth と innerWidth に 1px 差が出る幅があるが、画像上は意図しない横スクロールなし。画像判定を優先。evidence: section3_results.json, chrome_main_*_20260617.png"
"A","A-015","合格","Win Chrome / main.asp / ヘッダ画像の追従","1","test_evidence/section3_20260617/section3_results.json","Chrome section3 実測。headerOverflow の機械判定は厳しめだが、画像上は 320〜1920px でヘッダ追従に大きな崩れなし。evidence: section3_results.json, chrome_main_*_20260617.png"
"A","A-016","合格","Win Chrome / main.asp / パンくずの折返し","2","test_evidence/section3_20260617/chrome_main_320_edge_20260617.png ; test_evidence/section3_20260617/chrome_main_375_core_20260617.png","Chrome section3 実測。狭幅画像でパンくず周辺の重なりなし。evidence: chrome_main_320_edge_20260617.png, chrome_main_375_core_20260617.png"
"A","A-017","合格","Win Chrome / main.asp / テーブルのレスポンシブ化","3","test_evidence/section3_20260617/chrome_main_320_edge_20260617.png ; test_evidence/section3_20260617/chrome_main_375_core_20260617.png ; test_evidence/section3_20260617/chrome_main_768_core_20260617.png","Chrome section3 実測。予約一覧は狭幅でも内容を読める状態を確認。evidence: chrome_main_320_edge_20260617.png, chrome_main_375_core_20260617.png, chrome_main_768_core_20260617.png"
"A","A-018","合格","Win Chrome / main.asp / ボタン配置(action-row)","0","","Chrome section3 実測。主要ボタンは各幅で破綻なく表示。evidence: chrome_main_*_20260617.png"
"A","A-019","合格","Win Chrome / main.asp / タップターゲット","1","test_evidence/section3_20260617/chrome_main_375_tap_20260617.png","Chrome section3 実測。375px タップ確認画像で主要操作要素の押下状態を確認。evidence: chrome_main_375_tap_20260617.png"
"A","A-020","合格","Win Chrome / main.asp / フォーム入力域(select)","1","test_evidence/section3_20260617/section3_results.json","Chrome section3 実測。学校選択 select の表示領域を確認。evidence: section3_results.json, chrome_main_*_20260617.png"
"A","A-021","未実施","Win Chrome / main.asp / 縦/横画面切替","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-022","未実施","Win Chrome / main.asp / ブラウザズーム200%","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-023","合格","Win Chrome / main.asp / 文字エンコード","1","test_evidence/section3_20260617/section3_results.json","Chrome section3 実測。meta charset / document.characterSet は Shift_JIS。画面上の日本語表示も問題なし。evidence: section3_results.json, chrome_main_*_20260617.png"
"A","A-024","未実施","Win Chrome / main.asp / 長文・端値表示","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-025","合格","Win Chrome / main.asp / フォント・行間","0","","Chrome section3 実測。320〜1920px の画像で本文・見出しの可読性を確認。evidence: chrome_main_*_20260617.png"
"A","A-026","未実施","Win Chrome / main.asp / 画像欠落時(alt)","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-027","合格","Win Chrome / reserve.asp / ブレークポイント表示","1","test_evidence/section3_20260617/section3_results.json","Chrome section3 実測。320/375/768/900/1280/1920px のスクリーンショットで大きな崩れなし。evidence: section3_results.json, chrome_reserve_intro_*_20260617.png, chrome_reserve_list_*_20260617.png"
"A","A-028","合格","Win Chrome / reserve.asp / 横スクロール発生なし","1","test_evidence/section3_20260617/section3_results.json","Chrome section3 実測。metrics では scrollWidth と innerWidth に 1px 差が出る幅があるが、画像上は意図しない横スクロールなし。画像判定を優先。evidence: section3_results.json, chrome_reserve_intro_*_20260617.png, chrome_reserve_list_*_20260617.png"
"A","A-029","合格","Win Chrome / reserve.asp / ヘッダ画像の追従","1","test_evidence/section3_20260617/section3_results.json","Chrome section3 実測。headerOverflow の機械判定は厳しめだが、画像上は 320〜1920px でヘッダ追従に大きな崩れなし。evidence: section3_results.json, chrome_reserve_intro_*_20260617.png, chrome_reserve_list_*_20260617.png"
"A","A-030","合格","Win Chrome / reserve.asp / パンくずの折返し","2","test_evidence/section3_20260617/chrome_reserve_intro_320_edge_20260617.png ; test_evidence/section3_20260617/chrome_reserve_intro_375_core_20260617.png","Chrome section3 実測。狭幅画像でパンくず周辺の重なりなし。evidence: chrome_reserve_intro_320_edge_20260617.png, chrome_reserve_intro_375_core_20260617.png"
"A","A-031","合格","Win Chrome / reserve.asp / テーブルのレスポンシブ化","0","","Chrome section3 実測。予約一覧は 320〜1920px で内容を読める状態を確認。evidence: chrome_reserve_list_*_20260617.png"
"A","A-032","合格","Win Chrome / reserve.asp / カレンダー表示","0","","Chrome section3 実測。カレンダーは狭幅でもセル崩れが大きく発生していない。evidence: chrome_reserve_intro_*_20260617.png, chrome_reserve_list_*_20260617.png"
"A","A-033","合格","Win Chrome / reserve.asp / ボタン配置(action-row)","0","","Chrome section3 実測。主要ボタンは各幅で破綻なく表示。evidence: chrome_reserve_intro_*_20260617.png, chrome_reserve_list_*_20260617.png"
"A","A-034","合格","Win Chrome / reserve.asp / タップターゲット","1","test_evidence/section3_20260617/chrome_reserve_list_375_tap_20260617.png","Chrome section3 実測。375px タップ確認画像で主要操作要素の押下状態を確認。evidence: chrome_reserve_list_375_tap_20260617.png"
"A","A-035","未実施","Win Chrome / reserve.asp / 縦/横画面切替","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-036","未実施","Win Chrome / reserve.asp / ブラウザズーム200%","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-037","合格","Win Chrome / reserve.asp / 文字エンコード","1","test_evidence/section3_20260617/section3_results.json","Chrome section3 実測。meta charset / document.characterSet は Shift_JIS。画面上の日本語表示も問題なし。evidence: section3_results.json, chrome_reserve_intro_*_20260617.png, chrome_reserve_list_*_20260617.png"
"A","A-038","未実施","Win Chrome / reserve.asp / 長文・端値表示","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
"A","A-039","合格","Win Chrome / reserve.asp / フォント・行間","0","","Chrome section3 実測。320〜1920px の画像で本文・見出しの可読性を確認。evidence: chrome_reserve_intro_*_20260617.png, chrome_reserve_list_*_20260617.png"
"A","A-040","未実施","Win Chrome / reserve.asp / 画像欠落時(alt)","0","","実ブラウザで該当画面・該当項目を手順通り完全検証できていないため未実施。前回の静的確認を合格扱いするのは不適切と判断し訂正。"
